特征名,重要性
C16_f8584e89,0
C16_f68fdaa9,0
C16_d4814f0d,0
C16_d4bba8b9,0
C16_d539df75,0
C16_d53e706c,0
C16_d58d490f,0
C16_d5cb04e4,0
C16_d5fea315,0
C16_d621ce3f,0
C16_d6b24576,0
C16_d6f5a27d,0
C16_d707e487,0
C16_e72821fa,0
C16_d7ac84c6,0
C16_d7f85c26,0
C16_d8097e8c,0
C16_d81af691,0
C16_d877b52a,0
C16_d8971452,0
C16_d8bc5413,0
C16_d8daf836,0
C16_d8dbaf62,0
C16_d98adf97,0
C16_d99c0f09,0
C16_d9c4276c,0
C16_d7677c0f,0
C16_ce881087,0
C16_ceda4ce2,0
C16_cee50113,0
C16_cf393f9f,0
C16_cf3ec61f,0
C16_cf63f23e,0
C16_cf6f4aaa,0
C16_cfcf15f8,0
C16_cfdb3879,0
C16_cfea229d,0
C16_d1060f31,0
C16_d12dce20,0
C16_d46acc58,0
C16_d1a4e968,0
C16_d290e290,0
C16_d2b0336b,0
C16_d2d47dbe,0
C16_d2e4c63a,0
C16_d2f669a0,0
C16_d3251cb3,0
C16_d32b8b58,0
C16_d3491ec3,0
C16_d37efe8c,0
C16_d388d33c,0
C16_d432823b,0
C16_d14a4197,0
C16_dffa91ca,0
